"beneficiaryCode","distributionCode","packageCode","tcCode"
"1429","10","9","175"
"5194","10","9","172"
"5211","10","9","175"
"5291","10","9","175"
"5463","10","9","174"
"5275","10","9","175"
"5115","10","9","172"
"5152","10","9","172"
"5471","10","9","170"
"5292","10","9","175"
"5301","10","9","174"
"5137","10","9","172"
"5282","10","9","175"
"5314","10","9","174"
"5472","10","9","170"
"5118","10","9","172"
"5280","10","9","175"
"5203","10","9","172"
"5368","10","9","174"
"5413","10","9","170"
"5238","10","9","175"
"5162","10","9","172"
"5442","10","9","170"
"5329","10","9","174"
"5193","10","9","172"
"5256","10","9","175"
"5125","10","9","172"
"5287","10","9","175"
"5414","10","9","170"
"5279","10","9","175"
"5373","10","9","174"
"5402","10","9","170"
"5229","10","9","175"
"5363","10","9","174"
"5183","10","9","172"
"5299","10","9","174"
"5230","10","9","175"
"5401","10","9","170"
"5312","10","9","174"
"5181","10","9","172"
"1423","10","9","175"
"5186","10","9","172"
"5415","10","9","170"
"5324","10","9","174"
"5217","10","9","175"
"5176","10","9","172"
"5359","10","9","174"
"5221","10","9","175"
"5405","10","9","170"
"5108","10","9","172"
"5308","10","9","174"
"5231","10","9","175"
"5396","10","9","170"
"5375","10","9","174"
"5122","10","9","172"
"5224","10","9","175"
"5160","10","9","172"
"5403","10","9","170"
"5222","10","9","175"
"5346","10","9","174"
"5290","10","9","175"
"5170","10","9","172"
"5380","10","9","174"
"5406","10","9","170"
"5169","10","9","172"
"5218","10","9","175"
"5145","10","9","172"
"5342","10","9","174"
"5178","10","9","172"
"5286","10","9","175"
"5386","10","9","174"
"5199","10","9","172"
"5268","10","9","175"
"5385","10","9","174"
"5248","10","9","175"
"5404","10","9","170"
"5140","10","9","172"
"1454","10","9","174"
"5223","10","9","175"
"5157","10","9","172"
"5338","10","9","174"
"5461","10","9","170"
"5123","10","9","172"
"5263","10","9","175"
"5369","10","9","174"
"5113","10","9","172"
"5266","10","9","175"
"5365","10","9","174"
"5429","10","9","170"
"5325","10","9","174"
"5195","10","9","172"
"5449","10","9","170"
"5189","10","9","172"
"5322","10","9","174"
"5264","10","9","175"
"5277","10","9","175"
"5288","10","9","174"
"5142","10","9","172"
"5408","10","9","170"
"5245","10","9","175"
"5319","10","9","174"
"5425","10","9","170"
"5300","10","9","174"
"1413","10","9","174"
"5313","10","9","174"
"5244","10","9","174"
"5339","10","9","174"
"5272","10","9","175"
"5419","10","9","170"
"5148","10","9","172"
"5326","10","9","174"
"5251","10","9","175"
"5475","10","9","170"
"5252","10","9","175"
"5302","10","9","174"
"5116","10","9","172"
"5284","10","9","175"
"5295","10","9","175"
"5337","10","9","174"
"5173","10","9","172"
"5443","10","9","170"
"1420","10","9","172"
"5362","10","9","174"
"5110","10","9","172"
"5352","10","9","174"
"5243","10","9","175"
"5117","10","9","172"
"5269","10","9","175"
"5351","10","9","174"
"5270","10","9","175"
"5124","10","9","172"
"5273","10","9","175"
"5370","10","9","174"
"5448","10","9","170"
"5161","10","9","172"
"5354","10","9","174"
"5112","10","9","172"
"5271","10","9","175"
"5317","10","9","174"
"5438","10","9","170"
"5171","10","9","172"
"5259","10","9","175"
"5469","10","9","170"
"5336","10","9","174"
"5296","10","9","175"
"5191","10","9","172"
"5437","10","9","170"
"5254","10","9","175"
"1449","10","9","174"
"5416","10","9","170"
"5431","10","9","174"
"5467","10","9","174"
"5430","10","9","174"
"5439","10","9","174"
"5436","10","9","170"
"5423","10","9","170"
"5422","10","9","170"
"5455","10","9","170"
"5458","10","9","170"
"5457","10","9","170"
"5450","10","9","170"
"5452","10","9","170"
"5226","10","9","175"
"5129","10","9","175"
"5198","10","9","172"
"5237","10","9","175"
"5236","10","9","175"
"5445","10","9","170"
"5165","10","9","172"
"5219","10","9","175"
"5412","10","9","170"
"1460","10","9","170"
"5255","10","9","175"
"5131","10","9","170"
"5130","10","9","170"
"5121","10","9","170"
"5409","10","9","170"
"5156","10","9","170"
"1414","10","9","170"
"5232","10","9","175"
"5441","10","9","175"
"5434","10","9","175"
"5240","10","9","148"
"5144","10","9","148"
"5451","10","9","148"
"5119","10","9","148"
"5136","10","9","148"
"5163","10","9","148"
"5212","10","9","148"
"5215","10","9","148"
"5216","10","9","148"
"5228","10","9","148"
"5233","10","9","148"
"5246","10","9","148"
"5257","10","9","148"
"5261","10","9","148"
"5262","10","9","148"
"5283","10","9","148"
"5285","10","9","148"
"5306","10","9","148"
"5307","10","9","148"
"5318","10","9","148"
"5334","10","9","148"
"5353","10","9","148"
"5360","10","9","148"
"5388","10","9","148"
"5387","10","9","148"
"5424","10","9","148"
"5427","10","9","148"
"5428","10","9","148"
"5435","10","9","148"
"5446","10","9","148"
"5447","10","9","148"
"5454","10","9","148"
"5460","10","9","148"
"5249","10","9","148"
"5462","10","9","148"
"5470","10","9","148"
"5474","10","9","148"
"5477","10","9","148"